Age,Gender,Income,Credit_Score,Credit_History_Length,Number_of_Existing_Loans,Loan_Amount,Loan_Tenure,Existing_Customer,State,City,LTV_Ratio,Employment_Profile,Profile_Score,Occupation
36,Male,29000,747,569,8,76523,246,Yes,Uttar Pradesh,Kanpur,53.636694482706,Salaried,100,Banker
28,Female,50000,689,244,7,52359,235,Yes,West Bengal,Nellikuppam,82.0308737196885,Salaried,95,Teacher
59,Female,74000,411,213,2,150000,13,No,Tamil Nadu,Chennai,88.3722701540811,Self-Employed,56,Shopkeeper
54,Female,51000,850,86,10,150000,239,Yes,Rajasthan,Jaipur,57.4291653616248,Salaried,97,Software Engineer
30,Female,51000,322,146,0,150000,79,No,Telangana,Hyderabad,69.5285283604854,Freelancer,37,Writer
61,Female,128000,850,182,10,88441,334,Yes,Kerala,Kochi,47.6496413532331,Salaried,100,Banker
27,Female,38000,812,191,9,93542,288,Yes,Rajasthan,Jaipur,72.7534919223183,Self-Employed,99,Business Owner
24,Female,37000,700,384,7,99217,142,Yes,Uttar Pradesh,Lucknow,59.6328117513113,Self-Employed,94,Shopkeeper
50,Female,90000,493,173,3,88017,33,No,Gujarat,Surat,52.2217661376143,Salaried,94,Doctor
39,Female,88000,403,110,1,109483,20,No,Telangana,Hyderabad,92.6191218147557,Self-Employed,29,Contractor
38,Male,72000,375,434,1,44649,12,No,Rajasthan,Jaipur,95,Self-Employed,29,Shopkeeper
20,Female,48000,484,256,3,150000,109,No,Kerala,Kochi,60.7704987627018,Unemployed,87,NA
18,Male,48000,495,403,3,57712,23,No,Delhi,New Delhi,90.6963636185583,Self-Employed,49,Contractor
24,Female,47000,384,305,1,131907,17,No,Maharashtra,Pune,58.5215098753949,Self-Employed,47,Business Owner
45,Female,79000,759,102,8,62855,306,Yes,Telangana,Hyderabad,42.7979320045203,Unemployed,90,NA
23,Other,56000,622,241,5,98495,113,No,Kerala,Thiruvananthapuram,90.284844009285,Freelancer,91,Independent Consultant
33,Female,46000,329,207,0,148317,58,No,Delhi,New Delhi,73.6710070010721,Salaried,70,Teacher
68,Male,116000,832,547,9,130072,180,Yes,Tamil Nadu,Dhulagori,65.5764023064564,Salaried,100,Civil Servant
53,Male,118000,641,601,6,150000,144,No,Telangana,Hyderabad,95,Self-Employed,92,Farmer
34,Female,33000,599,601,5,141450,71,No,Uttar Pradesh,Kanpur,82.9315158664955,Salaried,79,Civil Servant
39,Female,112000,695,98,7,150000,186,Yes,Karnataka,Mysuru,63.3900956558361,Salaried,97,Teacher
37,Male,94000,486,159,3,104366,118,No,Gujarat,Ahmedabad,52.9001542156349,Student,82,Student
37,Female,67000,425,536,2,122025,36,No,Rajasthan,Dhulagori,95,Self-Employed,54,Farmer
41,Male,103000,818,222,9,102667,264,Yes,Karnataka,Bengaluru,79.3442116249429,Salaried,95,Software Engineer
58,Female,162000,383,552,1,150000,77,No,Rajasthan,Jaipur,95,Salaried,58,Teacher
43,Female,106000,608,59,5,122644,165,No,Maharashtra,Pune,91.0222688225915,Salaried,95,Doctor
33,Male,50000,751,518,8,82442,126,Yes,Rajasthan,Udaipur,65.5246900252153,Self-Employed,90,Contractor
23,Male,31000,701,494,7,36340,134,Yes,Tamil Nadu,Coimbatore,81.711900661887,Self-Employed,100,Business Owner
31,Female,26000,303,15,0,91974,74,No,West Bengal,Kolkata,57.1685240761087,Self-Employed,73,Business Owner
30,Other,47000,534,347,4,104534,73,No,Delhi,New Delhi,55.9562302330417,Self-Employed,100,Farmer
59,Male,91000,502,228,3,105628,80,No,Gujarat,Ahmedabad,85.4959129035609,Self-Employed,70,Farmer
25,Male,66000,511,547,3,99856,26,No,Telangana,Hyderabad,62.6258101898536,Self-Employed,83,Farmer
21,Female,24000,498,272,3,85518,44,No,West Bengal,Kolkata,95,Salaried,68,Software Engineer
50,Male,82000,307,114,0,150000,78,No,Maharashtra,Pune,83.9120715922506,Student,32,Student
54,Male,143000,408,601,1,150000,101,No,Kerala,Nellikuppam,59.8380485725864,Self-Employed,77,Farmer
51,Female,135000,694,446,7,88353,308,Yes,Telangana,Hyderabad,79.1219457746834,Salaried,98,Banker
40,Male,68000,401,382,1,100969,35,No,Uttar Pradesh,Kanpur,95,Freelancer,31,Independent Consultant
48,Female,123000,584,7,5,95335,114,No,West Bengal,Kolkata,80.1054456808655,Salaried,92,Civil Servant
42,Male,89000,525,398,4,125441,49,No,Gujarat,Ahmedabad,68.2676196784761,Salaried,98,Doctor
42,Male,77000,809,55,9,93455,276,Yes,Rajasthan,Udaipur,51.0244236577855,Salaried,100,Software Engineer
45,Male,128000,704,267,7,55651,170,Yes,Maharashtra,Channarayapatna,76.2383189756202,Self-Employed,96,Shopkeeper
63,Female,99000,790,517,8,150000,167,Yes,Uttar Pradesh,Kanpur,80.1356741932312,Salaried,91,Doctor
64,Female,161000,750,530,8,142595,355,Yes,Telangana,Hyderabad,72.7229049360071,Salaried,100,Teacher
49,Female,122000,850,242,10,150000,166,Yes,Telangana,Hyderabad,40.9296035542325,Self-Employed,92,Shopkeeper
55,Female,128000,578,94,5,92232,68,No,Uttar Pradesh,Dhulagori,88.0641865747464,Self-Employed,90,Contractor
58,Female,49000,640,316,6,116602,306,No,West Bengal,Kolkata,53.1918404704984,Salaried,100,Teacher
28,Male,51000,355,256,1,119303,43,No,Karnataka,Bengaluru,75.9164946887474,Freelancer,47,Photographer
53,Male,105000,786,577,8,91948,62,Yes,Delhi,New Delhi,43.3376760769288,Salaried,96,Teacher
20,Male,54000,605,176,5,150000,245,No,Delhi,New Delhi,78.2959818947644,Freelancer,69,Writer
37,Female,19000,708,374,7,92249,282,Yes,Maharashtra,Nagpur,71.8136983301934,Self-Employed,94,Farmer
27,Female,24000,599,198,5,100325,99,No,Karnataka,Dhulagori,95,Unemployed,63,NA
31,Male,92000,815,178,9,51775,89,Yes,Rajasthan,Jaipur,49.2310318860111,Student,90,Student
43,Male,30000,480,147,3,58908,115,No,Maharashtra,Pune,63.7363926885568,Unemployed,68,NA
46,Other,134000,850,403,10,150000,327,Yes,Tamil Nadu,Chennai,57.7359894887067,Self-Employed,100,Business Owner
64,Female,178000,651,261,6,82525,137,Yes,Karnataka,Bengaluru,81.8852319455476,Salaried,82,Civil Servant
69,Female,51000,311,196,0,59282,43,No,Maharashtra,Mumbai,95,Self-Employed,0,Farmer
34,Male,98000,479,389,3,130174,70,No,West Bengal,Bishanpura,74.4128147703451,Self-Employed,65,Contractor
42,Female,108000,794,568,8,150000,115,Yes,Uttar Pradesh,Kanpur,52.3600395202333,Self-Employed,97,Shopkeeper
29,Female,78000,653,304,6,59745,110,Yes,Gujarat,Surat,89.0262417687927,Unemployed,63,NA
52,Female,98000,725,399,7,150000,133,Yes,Delhi,New Delhi,40,Self-Employed,100,Business Owner
54,Female,97000,304,497,0,150000,45,No,Maharashtra,Pune,62.1965856762583,Self-Employed,33,Business Owner
24,Female,43000,762,421,8,150000,74,Yes,Telangana,Manjari,47.9748344793147,Student,93,Student
27,Female,19000,430,214,2,91773,81,No,Tamil Nadu,Chennai,95,Unemployed,10,NA
21,Other,29000,361,469,1,53379,18,No,Gujarat,Ahmedabad,66.3904908463491,Self-Employed,66,Contractor
58,Female,121000,384,245,1,150000,26,No,Tamil Nadu,Coimbatore,58.8250225902154,Salaried,62,Doctor
62,Male,112000,538,276,4,83106,80,No,Rajasthan,Nellikuppam,95,Unemployed,31,NA
28,Female,28000,300,74,0,76802,64,No,West Bengal,Kolkata,95,Student,0,Student
55,Male,117000,461,450,2,114277,52,No,Rajasthan,Jaipur,58.9403459974311,Self-Employed,60,Shopkeeper
60,Female,65000,733,53,7,66156,87,Yes,Gujarat,Manjari,51.6911765409823,Self-Employed,100,Business Owner
41,Female,46000,356,135,1,49211,38,No,West Bengal,Kolkata,61.6507884360986,Salaried,81,Teacher
62,Female,110000,797,279,9,73628,249,Yes,Uttar Pradesh,Lucknow,40,Self-Employed,90,Contractor
22,Male,22000,729,369,7,51543,128,Yes,Delhi,New Delhi,47.3551579145068,Freelancer,96,Independent Consultant
23,Female,55000,457,581,2,142707,71,No,Rajasthan,Udaipur,78.6389034363893,Student,35,Student
36,Male,64000,370,562,1,67709,53,No,Karnataka,Mysuru,68.0157798279133,Salaried,60,Banker
51,Male,71000,463,446,2,98822,12,No,Uttar Pradesh,Lucknow,95,Self-Employed,29,Business Owner
50,Female,109000,734,228,7,150000,130,Yes,Delhi,Channarayapatna,69.2600124393832,Self-Employed,100,Business Owner
58,Male,71000,464,605,2,150000,79,No,Uttar Pradesh,Lucknow,71.7140068495207,Freelancer,64,Independent Consultant
45,Other,83000,596,534,5,141020,51,No,Uttar Pradesh,Dhulagori,95,Self-Employed,87,Shopkeeper
64,Male,67000,573,226,4,150000,42,No,Delhi,New Delhi,84.7533764637872,Student,46,Student
46,Male,53000,629,394,5,134392,163,No,Maharashtra,Pune,95,Salaried,85,Doctor
46,Male,62000,624,423,5,100580,303,No,Rajasthan,Udaipur,95,Self-Employed,56,Business Owner
43,Female,121000,840,371,9,150000,71,Yes,Delhi,Nellikuppam,51.4024924996473,Salaried,93,Teacher
44,Male,64000,692,317,7,148798,345,Yes,Telangana,Hyderabad,92.5664208999336,Freelancer,100,Independent Consultant
64,Female,145000,790,217,8,137969,298,Yes,Maharashtra,Pune,45.6804165891215,Student,98,Student
69,Male,145000,435,287,2,103811,19,No,Delhi,New Delhi,95,Unemployed,35,NA
28,Female,50000,770,368,8,34683,132,Yes,Uttar Pradesh,Lucknow,56.8629829580083,Salaried,100,Doctor
52,Female,44000,594,422,5,128373,92,No,Maharashtra,Nagpur,58.9142000010416,Self-Employed,93,Shopkeeper
26,Male,40000,300,223,0,29600,94,No,Maharashtra,Nellikuppam,79.804571797911,Unemployed,37,NA
63,Male,104000,781,445,8,150000,94,Yes,Uttar Pradesh,Kanpur,45.9246355133026,Student,96,Student
46,Female,88000,463,45,2,98214,52,No,Uttar Pradesh,Lucknow,95,Self-Employed,31,Business Owner
58,Male,171000,829,368,9,139825,154,Yes,Karnataka,Bengaluru,83.1271756567761,Self-Employed,94,Contractor
66,Male,171000,573,187,4,150000,66,No,Tamil Nadu,Chennai,51.688719720435,Salaried,100,Banker
18,Male,16000,300,104,0,72857,113,No,Maharashtra,Mumbai,92.8275309043533,Self-Employed,34,Contractor
55,Male,77000,642,82,6,78863,191,No,Telangana,Dhulagori,89.5349436465692,Salaried,78,Software Engineer
26,Female,22000,423,273,2,28043,21,No,Rajasthan,Jaipur,71.4527668707058,Self-Employed,58,Farmer
69,Female,177000,677,410,6,67022,162,Yes,Rajasthan,Jaipur,95,Self-Employed,67,Farmer
52,Female,147000,563,60,4,61209,28,No,Telangana,Hyderabad,58.6536179608712,Self-Employed,98,Farmer
65,Male,50000,626,563,5,150000,296,No,Karnataka,Bengaluru,95,Salaried,78,Teacher
35,Female,25000,716,17,7,70290,113,Yes,Kerala,Thiruvananthapuram,40,Self-Employed,97,Shopkeeper
23,Male,42000,566,441,4,150000,82,No,Uttar Pradesh,Lucknow,95,Self-Employed,67,Farmer
59,Other,162000,538,385,4,150000,92,No,Gujarat,Surat,95,Unemployed,54,NA
25,Female,41000,697,260,7,49913,248,Yes,Karnataka,Bengaluru,55.202324263721,Salaried,93,Banker
49,Female,68000,672,504,6,73527,74,Yes,Delhi,New Delhi,52.7554413508159,Salaried,96,Doctor
60,Male,160000,452,94,2,150000,77,No,Uttar Pradesh,Kanpur,95,Self-Employed,24,Business Owner
55,Male,99000,531,171,4,150000,90,No,Rajasthan,Jaipur,95,Freelancer,71,Graphic Designer
41,Male,114000,845,304,9,150000,238,Yes,Telangana,Hyderabad,48.2661645353808,Self-Employed,100,Shopkeeper
26,Male,57000,588,22,5,150000,98,No,Rajasthan,Udaipur,85.2227911534705,Self-Employed,82,Business Owner
32,Male,19000,648,231,6,53553,239,No,Gujarat,Ahmedabad,55.3390857835918,Salaried,100,Doctor
23,Female,39000,394,390,1,150000,23,No,Maharashtra,Nagpur,70.8581497799795,Salaried,78,Doctor
48,Male,26000,493,223,3,100545,81,No,Kerala,Channarayapatna,76.0896087245004,Salaried,62,Civil Servant
46,Male,27000,376,22,1,71703,48,No,Delhi,New Delhi,68.0590405678547,Salaried,52,Teacher
45,Female,107000,445,523,2,108969,50,No,Gujarat,Surat,71.7244223615535,Salaried,75,Teacher
50,Other,136000,719,509,7,150000,242,Yes,Gujarat,Dhulagori,40,Salaried,100,Software Engineer
49,Male,31000,590,495,5,148100,100,No,Uttar Pradesh,Kanpur,95,Salaried,83,Doctor
50,Female,61000,405,384,1,52030,85,No,Telangana,Hyderabad,77.5412139593963,Unemployed,23,NA
56,Male,106000,521,450,4,117636,72,No,Maharashtra,Nagpur,61.9897739748022,Self-Employed,96,Shopkeeper
45,Female,44000,600,606,5,150000,104,No,West Bengal,Kolkata,83.3071123395709,Self-Employed,88,Farmer
63,Female,167000,513,573,3,150000,35,No,Uttar Pradesh,Channarayapatna,74.795725406817,Salaried,88,Teacher
30,Male,86000,850,102,10,56228,210,Yes,Delhi,New Delhi,42.3263374942585,Self-Employed,90,Business Owner
30,Male,21000,717,385,7,63985,135,Yes,Maharashtra,Nagpur,59.8436319149083,Student,94,Student
61,Male,134000,398,305,1,107445,112,No,Uttar Pradesh,Lucknow,57.3705392401434,Self-Employed,79,Farmer
19,Female,56000,524,324,4,130858,80,No,Maharashtra,Nagpur,64.4907761723326,Freelancer,97,Independent Consultant
34,Male,20000,478,454,3,20582,101,No,Telangana,Hyderabad,73.3155268242006,Salaried,88,Doctor
34,Male,93000,657,428,6,94401,197,Yes,Tamil Nadu,Coimbatore,51.5960126747912,Unemployed,92,NA
67,Female,175000,651,348,6,94532,301,Yes,West Bengal,Kolkata,61.8447968824809,Salaried,100,Doctor
37,Male,68000,305,226,0,66873,100,No,Gujarat,Surat,67.0332032604534,Salaried,63,Doctor
39,Female,101000,814,350,9,148529,305,Yes,West Bengal,Kolkata,53.3810894952269,Salaried,100,Software Engineer
65,Male,60000,783,8,8,119247,256,Yes,Delhi,New Delhi,41.5084604117222,Freelancer,100,Graphic Designer
55,Female,161000,543,163,4,50470,62,No,Delhi,New Delhi,95,Salaried,49,Banker
27,Female,34000,368,123,1,103844,53,No,West Bengal,Kolkata,89.7487135882446,Salaried,35,Teacher
64,Male,111000,701,588,7,150000,338,Yes,Telangana,Hyderabad,72.7081772297808,Salaried,98,Teacher
67,Male,145000,850,213,10,149466,301,Yes,Delhi,New Delhi,40,Salaried,100,Civil Servant
61,Male,147000,678,198,6,96447,298,Yes,Telangana,Hyderabad,55.4034789605816,Self-Employed,95,Farmer
59,Male,125000,711,168,7,125838,62,Yes,Delhi,Nellikuppam,66.4136822670791,Salaried,100,Banker
30,Male,26000,679,365,6,99926,340,Yes,Delhi,Manjari,55.3763665718534,Unemployed,95,NA
29,Female,32000,421,368,2,150000,60,No,Uttar Pradesh,Kanpur,66.9894104567681,Salaried,61,Software Engineer
54,Female,133000,552,169,4,147644,47,No,Gujarat,Ahmedabad,67.0321070610808,Salaried,85,Banker
52,Male,42000,300,453,0,150000,19,No,Rajasthan,Nellikuppam,53.1502301962528,Freelancer,49,Writer
69,Male,105000,850,48,10,150000,338,Yes,Tamil Nadu,Coimbatore,67.7286405250465,Salaried,92,Doctor
32,Female,60000,468,61,3,150000,103,No,Uttar Pradesh,Kanpur,68.8033874728598,Salaried,97,Teacher
49,Female,139000,678,596,6,93303,122,Yes,Telangana,Hyderabad,61.5414675215103,Salaried,100,Software Engineer
29,Female,85000,390,422,1,71711,39,No,Uttar Pradesh,Kanpur,62.4360279777504,Self-Employed,66,Shopkeeper
61,Male,158000,501,278,3,105976,17,No,Delhi,New Delhi,50.9499872083912,Self-Employed,100,Farmer
60,Male,118000,635,455,6,81848,234,No,Tamil Nadu,Coimbatore,95,Salaried,88,Doctor
46,Female,61000,602,53,5,116064,208,No,Karnataka,Bengaluru,90.0394164340701,Salaried,79,Doctor
25,Female,25000,706,375,7,24648,176,Yes,West Bengal,Kolkata,40,Salaried,92,Banker
52,Female,106000,594,287,5,150000,107,No,Gujarat,Bishanpura,79.8013731829409,Self-Employed,100,Business Owner
27,Male,37000,300,196,0,108278,117,No,Kerala,Thiruvananthapuram,75.0777257706804,Salaried,61,Teacher
56,Male,53000,398,589,1,150000,52,No,Gujarat,Surat,73.988037790055,Self-Employed,73,Contractor
39,Male,91000,406,131,1,150000,57,No,Delhi,New Delhi,95,Unemployed,20,NA
68,Female,107000,584,89,5,69238,70,No,Kerala,Kochi,71.627268265856,Salaried,100,Teacher
29,Male,60000,681,559,6,128061,126,Yes,Kerala,Thiruvananthapuram,95,Salaried,100,Doctor
34,Male,73000,443,299,2,52669,25,No,Tamil Nadu,Channarayapatna,79.1788058133774,Salaried,82,Software Engineer
49,Female,37000,850,295,10,97688,335,Yes,Tamil Nadu,Chennai,59.1522552471779,Salaried,95,Teacher
22,Male,22000,647,292,6,71264,299,No,Karnataka,Bengaluru,50.201672876933,Salaried,92,Civil Servant
26,Male,58000,850,351,10,96368,334,Yes,Uttar Pradesh,Lucknow,40,Salaried,100,Doctor
51,Female,82000,485,79,3,150000,113,No,Telangana,Hyderabad,56.0063746313046,Unemployed,71,NA
68,Female,180000,729,168,7,101010,274,Yes,Gujarat,Ahmedabad,81.3903036211928,Salaried,100,Software Engineer
39,Female,30000,389,393,1,136156,34,No,Uttar Pradesh,Lucknow,57.8873481422324,Self-Employed,49,Business Owner
18,Female,25000,681,381,6,70189,221,Yes,Delhi,New Delhi,70.5509261648772,Freelancer,97,Photographer
33,Female,75000,733,50,7,68817,262,Yes,Maharashtra,Mumbai,62.0014386494391,Salaried,100,Doctor
21,Male,49000,386,21,1,134878,28,No,Uttar Pradesh,Kanpur,65.4952133681699,Salaried,78,Teacher
29,Male,36000,627,449,5,120926,206,No,Rajasthan,Jaipur,76.1033594889669,Freelancer,77,Independent Consultant
45,Female,56000,779,184,8,118103,312,Yes,Kerala,Kochi,47.5916019953219,Self-Employed,100,Shopkeeper
19,Male,49000,668,66,6,141610,351,Yes,Delhi,New Delhi,56.1393143091042,Salaried,100,Software Engineer
70,Female,126000,432,508,2,150000,45,No,West Bengal,Kolkata,95,Salaried,66,Teacher
24,Female,14000,353,422,0,43034,54,No,Maharashtra,Nagpur,95,Self-Employed,17,Farmer
24,Male,59000,429,227,2,91586,55,No,Kerala,Thiruvananthapuram,65.7759888312615,Unemployed,54,NA
51,Female,90000,364,369,1,150000,49,No,Tamil Nadu,Channarayapatna,88.6353544915592,Salaried,41,Doctor
20,Female,15000,440,519,2,37043,66,No,Kerala,Kochi,60.5904429952241,Self-Employed,75,Farmer
53,Male,104000,716,507,7,70568,98,Yes,Gujarat,Ahmedabad,40,Salaried,100,Software Engineer
62,Female,160000,768,25,8,150000,187,Yes,Rajasthan,Udaipur,40,Salaried,100,Banker
55,Female,112000,659,390,6,101635,180,Yes,Karnataka,Mysuru,95,Salaried,77,Teacher
63,Male,36000,705,231,7,103642,129,Yes,Telangana,Hyderabad,62.5483325194532,Self-Employed,100,Shopkeeper
34,Male,100000,850,511,10,74914,137,Yes,Tamil Nadu,Coimbatore,40,Freelancer,93,Photographer
42,Male,29000,374,384,1,118812,110,No,Maharashtra,Nagpur,66.8607077101651,Student,29,Student
36,Male,78000,305,470,0,132830,70,No,Gujarat,Manjari,88.5869950833569,Salaried,50,Software Engineer
40,Other,60000,381,415,1,76778,97,No,Telangana,Hyderabad,95,Self-Employed,46,Contractor
54,Male,151000,604,163,5,150000,171,No,Gujarat,Surat,80.4951411050389,Salaried,75,Banker
34,Female,32000,557,325,4,145905,58,No,Maharashtra,Mumbai,62.2417646540284,Salaried,95,Doctor
39,Female,82000,508,38,3,150000,100,No,Tamil Nadu,Chennai,54.8491309079649,Self-Employed,98,Business Owner
31,Male,36000,785,448,8,76425,201,Yes,Uttar Pradesh,Lucknow,66.5981386018961,Student,100,Student
53,Male,88000,319,340,0,102545,52,No,Kerala,Nellikuppam,95,Salaried,35,Banker
69,Female,149000,590,405,5,85462,99,No,Tamil Nadu,Chennai,57.0536439396076,Salaried,99,Banker
31,Female,85000,393,151,1,110581,46,No,Gujarat,Surat,61.4939174208821,Self-Employed,49,Contractor
58,Male,88000,398,529,1,87434,43,No,Uttar Pradesh,Lucknow,95,Salaried,48,Teacher
44,Male,23000,469,558,3,58061,63,No,Gujarat,Surat,59.3536764659433,Self-Employed,75,Business Owner
66,Female,88000,451,307,2,126893,35,No,Telangana,Hyderabad,95,Unemployed,46,NA
57,Male,90000,652,371,6,149611,215,Yes,Tamil Nadu,Chennai,85.8129306573207,Salaried,99,Software Engineer
27,Female,25000,639,338,6,104326,358,No,Maharashtra,Mumbai,65.1275866056939,Self-Employed,90,Shopkeeper
56,Male,48000,464,80,2,130612,34,No,Delhi,New Delhi,56.3991708740985,Salaried,97,Banker
19,Male,16000,410,496,2,59253,97,No,Delhi,New Delhi,95,Salaried,44,Software Engineer
